,event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp
94,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Women's Flyweight,Miranda Maverick,Priscila Cachoeira,fighter1,0                                  0,36                                  11,3                                  0,1                                  0,SUB              Armbar,3,2:11,2023-09-21 02:02:55.178363
95,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Heavyweight,Tom Aspinall,Marcin Tybura,fighter1,1                                  0,13                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,1:13,2023-09-21 02:02:55.178363
96,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Women's Flyweight,Julija Stoliarenko,Molly McCann,fighter1,0                                  0,9                                  6,1                                  0,1                                  0,SUB              Armbar,1,1:55,2023-09-21 02:02:55.178363
97,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Featherweight,Nathaniel Wood,Andre Fili,fighter1,1                                  1,84                                  58,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
98,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Middleweight,Paul Craig,Andre Muniz,fighter1,0                                  0,40                                  24,2                                  2,1                                  0,KO/TKO              Elbows,2,4:40,2023-09-21 02:02:55.178363
99,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Lightweight,Fares Ziam,Jai Herbert,fighter1,0                                  0,61                                  49,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
100,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Featherweight,Lerone Murphy,Josh Culibao,fighter1,1                                  0,59                                  23,3                                  0,2                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
101,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Bantamweight,Daniel Marcos,Davey Grant,fighter1,0                                  0,48                                  70,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
102,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Welterweight,Jonny Parsons,Danny Roberts,fighter1,2                                  0,63                                  44,0                                  0,0                                  0,KO/TKO              Punches,2,4:57,2023-09-21 02:02:55.178363
103,UFC Fight Night: Aspinall vs. Tybura,July 22 2023,"London, England, United Kingdom",Lightweight,Joel Alvarez,Marc Diakiese,fighter1,0                                  0,42                                  20,0                                  2,1                                  0,SUB              D'Arce Choke,2,4:26,2023-09-21 02:02:55.178363
