event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Featherweight,David Onama,Gabriel Santos,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Middleweight,Brendan Allen,Bruno Silva,SUB              Rear Naked Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Welterweight,Neil Magny,Phil Rowe,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Welterweight,Randy Brown,Wellington Turman,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Lightweight,Mateusz Rebecki,Loik Radzhabov,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Women's Strawweight,Tabatha Ricci,Gillian Robertson,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Flyweight,Joshua Van,Zhalgas Zhumagulov,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Lightweight,Chepe Mariscal,Trevor Peek,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Featherweight,Jack Jenkins,Jamall Emmers,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Middleweight,Sedriques Dumas,Cody Brundage,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
