,events,odds
315,UFC Fight Night: Cowboy vs Cowboy,UFC Fight Night: Yan vs. Dvalishvili
316,UFC Fight Night: Hendricks vs Thompson,UFC 286
317,UFC on FOX: Johnson vs. Bader,UFC Fight Night: Vera vs. Sandhagen
318,UFC Fight Night: Dillashaw vs Cruz,UFC 287
319,UFC 195: Lawler vs Condit,UFC Fight Night: Holloway vs. Allen
320,UFC on FOX: Dos Anjos vs. Cowboy 2,UFC 288
321,UFC 194: Aldo vs McGregor,UFC Fight Night: Hill vs. Dern
322,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,UFC Fight Night: Kara-France vs. Albazi
323,UFC Fight Night: Namajunas vs. VanZant,UFC 289
324,UFC Fight Night: Henderson vs Masvidal,UFC Fight Night: Vettori vs. Cannonier
325,UFC Fight Night: Magny vs Gastelum,UFC Fight Night: Emmett vs. Topuria
326,UFC 193: Rousey vs Holm,UFC Fight Night: Strickland vs. Magomedov
327,UFC Fight Night: Belfort vs Henderson 3,UFC 290
328,UFC Fight Night: Holohan vs Smolka,UFC Fight Night: Holm vs. Bueno Silva
329,UFC 192: Cormier vs Gustafsson,UFC Fight Night: Aspinall vs. Tybura
330,UFC Fight Night: Barnett vs Nelson,UFC 291
331,UFC 191: Johnson vs Dodson 2,UFC Fight Night: Luque vs. Dos Anjos
332,UFC Fight Night: Holloway vs Oliveira,UFC Fight Night: Holloway vs. Jung
333,UFC Fight Night: Teixeira vs Saint Preux,UFC 293
334,UFC 190: Rousey vs Correia,UFC Fight Night: Grasso vs. Shevchenko II
335,UFC on FOX: Dillashaw vs. Barao II,UFC Fight Night: Fiziev vs. Gamrot
336,UFC Fight Night: Bisping vs Leites,UFC Fight Night: Dawson vs. Green
337,UFC Fight Night: Mir vs Duffee,UFC 294
338,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,UFC 295
339,UFC 189: Mendes vs McGregor,UFC Fight Night: Allen vs. Craig
340,UFC Fight Night: Machida vs Romero,
341,UFC Fight Night: Jedrzejczyk vs Penne,
342,UFC 188: Velasquez vs Werdum,
343,UFC Fight Night: Boetsch vs Henderson,
344,UFC Fight Night: Condit vs Alves,
345,UFC 187: Johnson vs Cormier,
346,UFC Fight Night: Edgar vs Faber,
347,UFC Fight Night: Miocic vs Hunt,
348,UFC 186: Johnson vs Horiguchi,
349,UFC on FOX: Machida vs Rockhold,
350,UFC Fight Night: Gonzaga vs Cro Cop 2,
351,UFC Fight Night: Mendes vs Lamas,
352,UFC Fight Night: Maia vs LaFlare,
353,UFC 185: Pettis vs Dos Anjos,
354,UFC 184: Rousey vs Zingano,
355,UFC Fight Night: Bigfoot vs Mir,
356,UFC Fight Night: Henderson vs Thatch,
357,UFC 183: Silva vs Diaz,
358,UFC on FOX: Gustafsson vs Johnson,
359,UFC Fight Night: McGregor vs Siver,
360,UFC 182: Jones vs Cormier,
361,UFC Fight Night: Machida vs Dollaway,
362,UFC on FOX: Dos Santos vs Miocic,
363,The Ultimate Fighter: A Champion Will Be Crowned Finale,
364,UFC 181: Hendricks vs Lawler II,
365,UFC Fight Night: Edgar vs Swanson,
366,UFC 180: Werdum vs Hunt,
367,UFC Fight Night 56: Shogun vs Saint Preux,
368,UFC Fight Night: Rockhold vs Bisping,
369,UFC 179: Aldo vs Mendes 2,
370,UFC Fight Night: MacDonald vs Saffiedine,
371,UFC Fight Night: Nelson vs Story,
372,UFC 178: Johnson vs Cariaso,
373,UFC Fight Night: Hunt vs Nelson,
374,UFC Fight Night: Bigfoot vs Arlovski,
375,UFC Fight Night: Jacare vs Mousasi,
376,UFC 177: Dillashaw vs Soto,
377,UFC Fight Night: Henderson vs Dos Anjos,
378,UFC Fight Night: Bisping vs Le,
