event_date,weight_class,fighter1,fighter2,outcome
2023-04-22,Women's Flyweight,Iasmin Lucindo,Brogan Walker,fighter1
2023-04-22,Welterweight,Jeremiah Wells,Matthew Semelsberger,fighter1
2023-04-22,Lightweight,Christos Giagos,Ricky Glenn,fighter1
2023-04-22,Bantamweight,Montel Jackson,Rani Yahya,fighter1
2023-04-22,Women's Featherweight,Norma Dumont,Karol Rosa,fighter1
2023-04-22,Heavyweight,Mohammed Usman,Junior Tafa,fighter1
2023-04-22,Featherweight,William Gomis,Francis Marshall,fighter1
2023-04-22,Bantamweight,Brady Hiestand,Batgerel Danaa,fighter1
2023-04-15,Featherweight,Max Holloway,Arnold Allen,fighter1
2023-04-15,Featherweight,Edson Barboza,Billy Quarantillo,fighter1
2023-04-15,Light Heavyweight,Azamat Murzakanov,Dustin Jacoby,fighter1
2023-04-15,Light Heavyweight,Ion Cutelaba,Tanner Boser,fighter1
2023-04-15,Bantamweight,Pedro Munhoz,Chris Gutierrez,fighter1
2023-04-15,Lightweight,Rafa Garcia,Clay Guida,fighter1
2023-04-15,Featherweight,Bill Algeo,TJ Brown,fighter1
2023-04-15,Flyweight,Brandon Royval,Matheus Nicolau,fighter1
2023-04-15,Light Heavyweight,Zak Cummings,Ed Herman,fighter1
2023-04-15,Women's Strawweight,Gillian Robertson,Piera Rodriguez,fighter1
2023-04-15,Lightweight,Daniel Zellhuber,Lando Vannata,fighter1
2023-04-15,Women's Strawweight,Denise Gomes,Bruna Brasil,fighter1
2023-04-15,Bantamweight,Gaston Bolanos,Aaron Phillips,fighter1
2023-04-15,Women's Bantamweight,Joselyne Edwards,Lucie Pudilova,fighter1
2023-04-08,Middleweight,Israel Adesanya,Alex Pereira,fighter1
2023-04-08,Welterweight,Gilbert Burns,Jorge Masvidal,fighter1
2023-04-08,Bantamweight,Rob Font,Adrian Yanez,fighter1
2023-04-08,Welterweight,Kevin Holland,Santiago Ponzinibbio,fighter1
2023-04-08,Bantamweight,Christian Rodriguez,Raul Rosas Jr.,fighter1
2023-04-08,Middleweight,Kelvin Gastelum,Chris Curtis,fighter1
2023-04-08,Women's Strawweight,Luana Pinheiro,Michelle Waterson-Gomez,fighter1
2023-04-08,Middleweight,Joe Pyfer,Gerald Meerschaert,fighter1
2023-04-08,Women's Strawweight,Loopy Godinez,Cynthia Calvillo,fighter1
2023-04-08,Catch Weight,Ignacio Bahamondes,Trey Ogden,fighter1
2023-04-08,Featherweight,Steve Garcia,Shayilan Nuerdanbieke,fighter1
2023-04-08,Women's Strawweight,Sam Hughes,Jaqueline Amorim,fighter1
2023-03-25,Bantamweight,Cory Sandhagen,Marlon Vera,fighter1
2023-03-25,Women's Bantamweight,Holly Holm,Yana Santos,fighter1
2023-03-25,Featherweight,Nate Landwehr,Austin Lingo,fighter1
2023-03-25,Women's Flyweight,Maycee Barber,Andrea Lee,fighter1
2023-03-25,Middleweight,Albert Duraev,Chidi Njokuani,fighter1
2023-03-25,Featherweight,Daniel Pineda,Tucker Lutz,fighter1
2023-03-25,Featherweight,Lucas Alexander,Steven Peterson,fighter1
